sample_id,caption,label_a,label_a_name,label_b,label_b_name,split
41,a giraffe leaning over a fence to eat out of a bowl that a woman is holding ,1,AI-Generated,5,Midjourney,train
42,"The bathroom is multi-colored containing black, white, and green.
",0,Real,0,Real,train
43,"The bathroom is multi-colored containing black, white, and green.
",1,AI-Generated,1,SD21,train
44,"The bathroom is multi-colored containing black, white, and green.
",1,AI-Generated,2,SDXL,train
45,"The bathroom is multi-colored containing black, white, and green.
",1,AI-Generated,3,SD3,train
46,"The bathroom is multi-colored containing black, white, and green.
",1,AI-Generated,4,DALLE3,train
47,"The bathroom is multi-colored containing black, white, and green.
",1,AI-Generated,5,Midjourney,train
48,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,0,Real,0,Real,train
49,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,1,AI-Generated,1,SD21,train
50,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,1,AI-Generated,2,SDXL,train
51,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,1,AI-Generated,3,SD3,train
52,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,1,AI-Generated,4,DALLE3,train
53,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,1,AI-Generated,5,Midjourney,train
54,A bathroom stall that has very dirty walls.,0,Real,0,Real,train
55,A bathroom stall that has very dirty walls.,1,AI-Generated,1,SD21,train
56,A bathroom stall that has very dirty walls.,1,AI-Generated,2,SDXL,train
57,A bathroom stall that has very dirty walls.,1,AI-Generated,3,SD3,train
58,A bathroom stall that has very dirty walls.,1,AI-Generated,4,DALLE3,train
59,A bathroom stall that has very dirty walls.,1,AI-Generated,5,Midjourney,train
60,A store with a taxi and bus parked out front,0,Real,0,Real,train
61,A store with a taxi and bus parked out front,1,AI-Generated,1,SD21,train
62,A store with a taxi and bus parked out front,1,AI-Generated,2,SDXL,train
63,A store with a taxi and bus parked out front,1,AI-Generated,3,SD3,train
64,A store with a taxi and bus parked out front,1,AI-Generated,4,DALLE3,train
65,A store with a taxi and bus parked out front,1,AI-Generated,5,Midjourney,train
66,A white toilet sitting in a bathroom next to a wall.,0,Real,0,Real,train
67,A white toilet sitting in a bathroom next to a wall.,1,AI-Generated,1,SD21,train
68,A white toilet sitting in a bathroom next to a wall.,1,AI-Generated,2,SDXL,train
69,A white toilet sitting in a bathroom next to a wall.,1,AI-Generated,3,SD3,train
70,A white toilet sitting in a bathroom next to a wall.,1,AI-Generated,4,DALLE3,train
71,A white toilet sitting in a bathroom next to a wall.,1,AI-Generated,5,Midjourney,train
72,A wooden bench with a black box on top of it.,0,Real,0,Real,train
73,A wooden bench with a black box on top of it.,1,AI-Generated,1,SD21,train
74,A wooden bench with a black box on top of it.,1,AI-Generated,2,SDXL,train
75,A wooden bench with a black box on top of it.,1,AI-Generated,3,SD3,train
76,A wooden bench with a black box on top of it.,1,AI-Generated,4,DALLE3,train
77,A wooden bench with a black box on top of it.,1,AI-Generated,5,Midjourney,train
78,A landing jet airplane kicking up spray on a wet runway.,0,Real,0,Real,train
79,A landing jet airplane kicking up spray on a wet runway.,1,AI-Generated,1,SD21,train
80,A landing jet airplane kicking up spray on a wet runway.,1,AI-Generated,2,SDXL,train
81,A landing jet airplane kicking up spray on a wet runway.,1,AI-Generated,3,SD3,train
82,A landing jet airplane kicking up spray on a wet runway.,1,AI-Generated,4,DALLE3,train
83,A landing jet airplane kicking up spray on a wet runway.,1,AI-Generated,5,Midjourney,train
84,A public bus driving on a city street.,0,Real,0,Real,train
85,A public bus driving on a city street.,1,AI-Generated,1,SD21,train
86,A public bus driving on a city street.,1,AI-Generated,2,SDXL,train
87,A public bus driving on a city street.,1,AI-Generated,3,SD3,train
88,A public bus driving on a city street.,1,AI-Generated,4,DALLE3,train
89,A public bus driving on a city street.,1,AI-Generated,5,Midjourney,train
90,"Road construction and street signs in Cape Town, SA",0,Real,0,Real,train
91,"Road construction and street signs in Cape Town, SA",1,AI-Generated,1,SD21,train
92,"Road construction and street signs in Cape Town, SA",1,AI-Generated,2,SDXL,train
93,"Road construction and street signs in Cape Town, SA",1,AI-Generated,3,SD3,train
94,"Road construction and street signs in Cape Town, SA",1,AI-Generated,4,DALLE3,train
95,"Road construction and street signs in Cape Town, SA",1,AI-Generated,5,Midjourney,train
96,A large orange bus that is rolling down the street.,0,Real,0,Real,train
97,A large orange bus that is rolling down the street.,1,AI-Generated,1,SD21,train
98,A large orange bus that is rolling down the street.,1,AI-Generated,2,SDXL,train
99,A large orange bus that is rolling down the street.,1,AI-Generated,3,SD3,train
100,A large orange bus that is rolling down the street.,1,AI-Generated,4,DALLE3,train
101,A large orange bus that is rolling down the street.,1,AI-Generated,5,Midjourney,train
102,A pair of dogs sit on a bathroom rug.,0,Real,0,Real,train
103,A pair of dogs sit on a bathroom rug.,1,AI-Generated,1,SD21,train
104,A pair of dogs sit on a bathroom rug.,1,AI-Generated,2,SDXL,train
105,A pair of dogs sit on a bathroom rug.,1,AI-Generated,3,SD3,train
106,A pair of dogs sit on a bathroom rug.,1,AI-Generated,4,DALLE3,train
107,A pair of dogs sit on a bathroom rug.,1,AI-Generated,5,Midjourney,train
108,The sky is cloudy over a stop sign.,0,Real,0,Real,train
109,The sky is cloudy over a stop sign.,1,AI-Generated,1,SD21,train
110,The sky is cloudy over a stop sign.,1,AI-Generated,2,SDXL,train
111,The sky is cloudy over a stop sign.,1,AI-Generated,3,SD3,train
112,The sky is cloudy over a stop sign.,1,AI-Generated,4,DALLE3,train
113,The sky is cloudy over a stop sign.,1,AI-Generated,5,Midjourney,train
114,A pink cookie jar on a tile kitchen counter.,0,Real,0,Real,train
115,A pink cookie jar on a tile kitchen counter.,1,AI-Generated,1,SD21,train
116,A pink cookie jar on a tile kitchen counter.,1,AI-Generated,2,SDXL,train
117,A pink cookie jar on a tile kitchen counter.,1,AI-Generated,3,SD3,train
118,A pink cookie jar on a tile kitchen counter.,1,AI-Generated,4,DALLE3,train
119,A pink cookie jar on a tile kitchen counter.,1,AI-Generated,5,Midjourney,train
120,People holding umbrellas with a blue light in back.,0,Real,0,Real,train
121,People holding umbrellas with a blue light in back.,1,AI-Generated,1,SD21,train
122,People holding umbrellas with a blue light in back.,1,AI-Generated,2,SDXL,train
123,People holding umbrellas with a blue light in back.,1,AI-Generated,3,SD3,train
124,People holding umbrellas with a blue light in back.,1,AI-Generated,4,DALLE3,train
125,People holding umbrellas with a blue light in back.,1,AI-Generated,5,Midjourney,train
126,Decorated elephant statue near many bicycles in racks.,0,Real,0,Real,train
127,Decorated elephant statue near many bicycles in racks.,1,AI-Generated,1,SD21,train
128,Decorated elephant statue near many bicycles in racks.,1,AI-Generated,2,SDXL,train
129,Decorated elephant statue near many bicycles in racks.,1,AI-Generated,3,SD3,train
130,Decorated elephant statue near many bicycles in racks.,1,AI-Generated,4,DALLE3,train
131,Decorated elephant statue near many bicycles in racks.,1,AI-Generated,5,Midjourney,train
132,A stop sign that has been tagged with graffiti.,0,Real,0,Real,train
133,A stop sign that has been tagged with graffiti.,1,AI-Generated,1,SD21,train
134,A stop sign that has been tagged with graffiti.,1,AI-Generated,2,SDXL,train
135,A stop sign that has been tagged with graffiti.,1,AI-Generated,3,SD3,train
136,A stop sign that has been tagged with graffiti.,1,AI-Generated,4,DALLE3,train
137,A stop sign that has been tagged with graffiti.,1,AI-Generated,5,Midjourney,train
138,A long haired cat lounging on top of a car.,0,Real,0,Real,train
139,A long haired cat lounging on top of a car.,1,AI-Generated,1,SD21,train
140,A long haired cat lounging on top of a car.,1,AI-Generated,2,SDXL,train
141,A long haired cat lounging on top of a car.,1,AI-Generated,3,SD3,train
142,A long haired cat lounging on top of a car.,1,AI-Generated,4,DALLE3,train
143,A long haired cat lounging on top of a car.,1,AI-Generated,5,Midjourney,train
144,A bathroom with an enclosed shower next to a sink and a toilet.,0,Real,0,Real,train
145,A bathroom with an enclosed shower next to a sink and a toilet.,1,AI-Generated,1,SD21,train
146,A bathroom with an enclosed shower next to a sink and a toilet.,1,AI-Generated,2,SDXL,train
147,A bathroom with an enclosed shower next to a sink and a toilet.,1,AI-Generated,3,SD3,train
148,A bathroom with an enclosed shower next to a sink and a toilet.,1,AI-Generated,4,DALLE3,train
149,A bathroom with an enclosed shower next to a sink and a toilet.,1,AI-Generated,5,Midjourney,train
150,A tall giraffe in a green grassy field.,0,Real,0,Real,train
151,A tall giraffe in a green grassy field.,1,AI-Generated,1,SD21,train
152,A tall giraffe in a green grassy field.,1,AI-Generated,2,SDXL,train
153,A tall giraffe in a green grassy field.,1,AI-Generated,3,SD3,train
154,A tall giraffe in a green grassy field.,1,AI-Generated,4,DALLE3,train
155,A tall giraffe in a green grassy field.,1,AI-Generated,5,Midjourney,train
156,The black cat is laying on top of books on the shelf. ,0,Real,0,Real,train
157,The black cat is laying on top of books on the shelf. ,1,AI-Generated,1,SD21,train
158,The black cat is laying on top of books on the shelf. ,1,AI-Generated,2,SDXL,train
159,The black cat is laying on top of books on the shelf. ,1,AI-Generated,3,SD3,train
160,The black cat is laying on top of books on the shelf. ,1,AI-Generated,4,DALLE3,train
161,The black cat is laying on top of books on the shelf. ,1,AI-Generated,5,Midjourney,train
162,An orange cat laying in front of  a green wooden bench.,0,Real,0,Real,train
163,An orange cat laying in front of  a green wooden bench.,1,AI-Generated,1,SD21,train
164,An orange cat laying in front of  a green wooden bench.,1,AI-Generated,2,SDXL,train
165,An orange cat laying in front of  a green wooden bench.,1,AI-Generated,3,SD3,train
166,An orange cat laying in front of  a green wooden bench.,1,AI-Generated,4,DALLE3,train
167,An orange cat laying in front of  a green wooden bench.,1,AI-Generated,5,Midjourney,train
168,A group of fire fighters working on a fire hydrant.,0,Real,0,Real,train
169,A group of fire fighters working on a fire hydrant.,1,AI-Generated,1,SD21,train
170,A group of fire fighters working on a fire hydrant.,1,AI-Generated,2,SDXL,train
171,A group of fire fighters working on a fire hydrant.,1,AI-Generated,3,SD3,train
172,A group of fire fighters working on a fire hydrant.,1,AI-Generated,4,DALLE3,train
173,A group of fire fighters working on a fire hydrant.,1,AI-Generated,5,Midjourney,train
174,A water-stained cathedral/clock-tower enveloped by various green vines.,0,Real,0,Real,train
175,A water-stained cathedral/clock-tower enveloped by various green vines.,1,AI-Generated,1,SD21,train
176,A water-stained cathedral/clock-tower enveloped by various green vines.,1,AI-Generated,2,SDXL,train
177,A water-stained cathedral/clock-tower enveloped by various green vines.,1,AI-Generated,3,SD3,train
178,A water-stained cathedral/clock-tower enveloped by various green vines.,1,AI-Generated,4,DALLE3,train
179,A water-stained cathedral/clock-tower enveloped by various green vines.,1,AI-Generated,5,Midjourney,train
180,A man sitting under a stop sign on the side of street.,0,Real,0,Real,train
181,A man sitting under a stop sign on the side of street.,1,AI-Generated,1,SD21,train
182,A man sitting under a stop sign on the side of street.,1,AI-Generated,2,SDXL,train
183,A man sitting under a stop sign on the side of street.,1,AI-Generated,3,SD3,train
184,A man sitting under a stop sign on the side of street.,1,AI-Generated,4,DALLE3,train
185,A man sitting under a stop sign on the side of street.,1,AI-Generated,5,Midjourney,train
186,Cars parked and driving in front of a school.,0,Real,0,Real,train
187,Cars parked and driving in front of a school.,1,AI-Generated,1,SD21,train
188,Cars parked and driving in front of a school.,1,AI-Generated,2,SDXL,train
189,Cars parked and driving in front of a school.,1,AI-Generated,3,SD3,train
190,Cars parked and driving in front of a school.,1,AI-Generated,4,DALLE3,train
191,Cars parked and driving in front of a school.,1,AI-Generated,5,Midjourney,train
192,"very small bath with stand-up shower, commode and sink",0,Real,0,Real,train
193,"very small bath with stand-up shower, commode and sink",1,AI-Generated,1,SD21,train
194,"very small bath with stand-up shower, commode and sink",1,AI-Generated,2,SDXL,train
195,"very small bath with stand-up shower, commode and sink",1,AI-Generated,3,SD3,train
196,"very small bath with stand-up shower, commode and sink",1,AI-Generated,4,DALLE3,train
197,"very small bath with stand-up shower, commode and sink",1,AI-Generated,5,Midjourney,train
198,a close up of a banana on a plate next to a bowl,0,Real,0,Real,train
199,a close up of a banana on a plate next to a bowl,1,AI-Generated,1,SD21,train
200,a close up of a banana on a plate next to a bowl,1,AI-Generated,2,SDXL,train
201,a close up of a banana on a plate next to a bowl,1,AI-Generated,3,SD3,train
202,a close up of a banana on a plate next to a bowl,1,AI-Generated,4,DALLE3,train
203,a close up of a banana on a plate next to a bowl,1,AI-Generated,5,Midjourney,train
204,A family of giraffes standing next to a pile of logs.,0,Real,0,Real,train
205,A family of giraffes standing next to a pile of logs.,1,AI-Generated,1,SD21,train
206,A family of giraffes standing next to a pile of logs.,1,AI-Generated,2,SDXL,train
207,A family of giraffes standing next to a pile of logs.,1,AI-Generated,3,SD3,train
208,A family of giraffes standing next to a pile of logs.,1,AI-Generated,4,DALLE3,train
209,A family of giraffes standing next to a pile of logs.,1,AI-Generated,5,Midjourney,train
210,An airplane nose sits in a hangar. ,0,Real,0,Real,train
211,An airplane nose sits in a hangar. ,1,AI-Generated,1,SD21,train
212,An airplane nose sits in a hangar. ,1,AI-Generated,2,SDXL,train
213,An airplane nose sits in a hangar. ,1,AI-Generated,3,SD3,train
214,An airplane nose sits in a hangar. ,1,AI-Generated,4,DALLE3,train
215,An airplane nose sits in a hangar. ,1,AI-Generated,5,Midjourney,train
216,A professional tennis match from very high up in the stands,0,Real,0,Real,train
217,A professional tennis match from very high up in the stands,1,AI-Generated,1,SD21,train
218,A professional tennis match from very high up in the stands,1,AI-Generated,2,SDXL,train
219,A professional tennis match from very high up in the stands,1,AI-Generated,3,SD3,train
220,A professional tennis match from very high up in the stands,1,AI-Generated,4,DALLE3,train
221,A professional tennis match from very high up in the stands,1,AI-Generated,5,Midjourney,train
222,"A man standing with his back to a mirror, but his reflection facing him. ",0,Real,0,Real,train
223,"A man standing with his back to a mirror, but his reflection facing him. ",1,AI-Generated,1,SD21,train
224,"A man standing with his back to a mirror, but his reflection facing him. ",1,AI-Generated,2,SDXL,train
225,"A man standing with his back to a mirror, but his reflection facing him. ",1,AI-Generated,3,SD3,train
226,"A man standing with his back to a mirror, but his reflection facing him. ",1,AI-Generated,4,DALLE3,train
227,"A man standing with his back to a mirror, but his reflection facing him. ",1,AI-Generated,5,Midjourney,train
228,A bathroom with a white toilet underneath a window.,0,Real,0,Real,train
229,A bathroom with a white toilet underneath a window.,1,AI-Generated,1,SD21,train
230,A bathroom with a white toilet underneath a window.,1,AI-Generated,2,SDXL,train
231,A bathroom with a white toilet underneath a window.,1,AI-Generated,3,SD3,train
232,A bathroom with a white toilet underneath a window.,1,AI-Generated,4,DALLE3,train
233,A bathroom with a white toilet underneath a window.,1,AI-Generated,5,Midjourney,train
234,People are milling about on a city street. ,0,Real,0,Real,train
235,People are milling about on a city street. ,1,AI-Generated,1,SD21,train
236,People are milling about on a city street. ,1,AI-Generated,2,SDXL,train
237,People are milling about on a city street. ,1,AI-Generated,3,SD3,train
238,People are milling about on a city street. ,1,AI-Generated,4,DALLE3,train
239,People are milling about on a city street. ,1,AI-Generated,5,Midjourney,train
240,A toilet is sitting in an empty bathroom with a shower.,0,Real,0,Real,train
241,A toilet is sitting in an empty bathroom with a shower.,1,AI-Generated,1,SD21,train
242,A toilet is sitting in an empty bathroom with a shower.,1,AI-Generated,2,SDXL,train
243,A toilet is sitting in an empty bathroom with a shower.,1,AI-Generated,3,SD3,train
244,A toilet is sitting in an empty bathroom with a shower.,1,AI-Generated,4,DALLE3,train
245,A toilet is sitting in an empty bathroom with a shower.,1,AI-Generated,5,Midjourney,train
246,a woman is on a poster hanging outside,0,Real,0,Real,train
247,a woman is on a poster hanging outside,1,AI-Generated,1,SD21,train
248,a woman is on a poster hanging outside,1,AI-Generated,2,SDXL,train
249,a woman is on a poster hanging outside,1,AI-Generated,3,SD3,train
250,a woman is on a poster hanging outside,1,AI-Generated,4,DALLE3,train
251,a woman is on a poster hanging outside,1,AI-Generated,5,Midjourney,train
252,"Photo of a white towel, plunger and a wall air freshener.",0,Real,0,Real,train
253,"Photo of a white towel, plunger and a wall air freshener.",1,AI-Generated,1,SD21,train
254,"Photo of a white towel, plunger and a wall air freshener.",1,AI-Generated,2,SDXL,train
255,"Photo of a white towel, plunger and a wall air freshener.",1,AI-Generated,3,SD3,train
256,"Photo of a white towel, plunger and a wall air freshener.",1,AI-Generated,4,DALLE3,train
257,"Photo of a white towel, plunger and a wall air freshener.",1,AI-Generated,5,Midjourney,train
258,A street covered in pink confetti next to a red fire hydrant.,0,Real,0,Real,train
259,A street covered in pink confetti next to a red fire hydrant.,1,AI-Generated,1,SD21,train
260,A street covered in pink confetti next to a red fire hydrant.,1,AI-Generated,2,SDXL,train
261,A street covered in pink confetti next to a red fire hydrant.,1,AI-Generated,3,SD3,train
262,A street covered in pink confetti next to a red fire hydrant.,1,AI-Generated,4,DALLE3,train
263,A street covered in pink confetti next to a red fire hydrant.,1,AI-Generated,5,Midjourney,train
264,The white train is at a platform at evening time.,0,Real,0,Real,train
265,The white train is at a platform at evening time.,1,AI-Generated,1,SD21,train
266,The white train is at a platform at evening time.,1,AI-Generated,2,SDXL,train
267,The white train is at a platform at evening time.,1,AI-Generated,3,SD3,train
268,The white train is at a platform at evening time.,1,AI-Generated,4,DALLE3,train
269,The white train is at a platform at evening time.,1,AI-Generated,5,Midjourney,train
270,A cute orange cat sitting on top of a structure.,0,Real,0,Real,train
271,A cute orange cat sitting on top of a structure.,1,AI-Generated,1,SD21,train
272,A cute orange cat sitting on top of a structure.,1,AI-Generated,2,SDXL,train
273,A cute orange cat sitting on top of a structure.,1,AI-Generated,3,SD3,train
274,A cute orange cat sitting on top of a structure.,1,AI-Generated,4,DALLE3,train
275,A cute orange cat sitting on top of a structure.,1,AI-Generated,5,Midjourney,train
276,A man stares at another man tying a tie.,0,Real,0,Real,train
277,A man stares at another man tying a tie.,1,AI-Generated,1,SD21,train
278,A man stares at another man tying a tie.,1,AI-Generated,2,SDXL,train
279,A man stares at another man tying a tie.,1,AI-Generated,3,SD3,train
280,A man stares at another man tying a tie.,1,AI-Generated,4,DALLE3,train
281,A man stares at another man tying a tie.,1,AI-Generated,5,Midjourney,train
282,a clean bathroom with tiled walls and a sink,0,Real,0,Real,train
283,a clean bathroom with tiled walls and a sink,1,AI-Generated,1,SD21,train
284,a clean bathroom with tiled walls and a sink,1,AI-Generated,2,SDXL,train
285,a clean bathroom with tiled walls and a sink,1,AI-Generated,3,SD3,train
286,a clean bathroom with tiled walls and a sink,1,AI-Generated,4,DALLE3,train
287,a clean bathroom with tiled walls and a sink,1,AI-Generated,5,Midjourney,train
288,Two toilets are in a restroom with a vanity with dual sinks.,0,Real,0,Real,train
289,Two toilets are in a restroom with a vanity with dual sinks.,1,AI-Generated,1,SD21,train
290,Two toilets are in a restroom with a vanity with dual sinks.,1,AI-Generated,2,SDXL,train
291,Two toilets are in a restroom with a vanity with dual sinks.,1,AI-Generated,3,SD3,train
292,Two toilets are in a restroom with a vanity with dual sinks.,1,AI-Generated,4,DALLE3,train
293,Two toilets are in a restroom with a vanity with dual sinks.,1,AI-Generated,5,Midjourney,train
294,A stop sign is at an intersection on Morgan Rd.,0,Real,0,Real,train
295,A stop sign is at an intersection on Morgan Rd.,1,AI-Generated,1,SD21,train
296,A stop sign is at an intersection on Morgan Rd.,1,AI-Generated,2,SDXL,train
297,A stop sign is at an intersection on Morgan Rd.,1,AI-Generated,3,SD3,train
298,A stop sign is at an intersection on Morgan Rd.,1,AI-Generated,4,DALLE3,train
299,A stop sign is at an intersection on Morgan Rd.,1,AI-Generated,5,Midjourney,train
300,"Trains on a track, one with freight boxes.  ",0,Real,0,Real,train
301,"Trains on a track, one with freight boxes.  ",1,AI-Generated,1,SD21,train
302,"Trains on a track, one with freight boxes.  ",1,AI-Generated,2,SDXL,train
303,"Trains on a track, one with freight boxes.  ",1,AI-Generated,3,SD3,train
304,"Trains on a track, one with freight boxes.  ",1,AI-Generated,4,DALLE3,train
305,"Trains on a track, one with freight boxes.  ",1,AI-Generated,5,Midjourney,train
306,"Two bikers, one in front of a building, the other in the city.",0,Real,0,Real,train
307,"Two bikers, one in front of a building, the other in the city.",1,AI-Generated,1,SD21,train
308,"Two bikers, one in front of a building, the other in the city.",1,AI-Generated,2,SDXL,train
309,"Two bikers, one in front of a building, the other in the city.",1,AI-Generated,3,SD3,train
310,"Two bikers, one in front of a building, the other in the city.",1,AI-Generated,4,DALLE3,train
311,"Two bikers, one in front of a building, the other in the city.",1,AI-Generated,5,Midjourney,train
312,A street sign next to a large building.,0,Real,0,Real,train
313,A street sign next to a large building.,1,AI-Generated,1,SD21,train
314,A street sign next to a large building.,1,AI-Generated,2,SDXL,train
315,A street sign next to a large building.,1,AI-Generated,3,SD3,train
316,A street sign next to a large building.,1,AI-Generated,4,DALLE3,train
317,A street sign next to a large building.,1,AI-Generated,5,Midjourney,train
318,A view of the mountains is shown from an airplane window.,0,Real,0,Real,train
319,A view of the mountains is shown from an airplane window.,1,AI-Generated,1,SD21,train
320,A view of the mountains is shown from an airplane window.,1,AI-Generated,2,SDXL,train
321,A view of the mountains is shown from an airplane window.,1,AI-Generated,3,SD3,train
322,A view of the mountains is shown from an airplane window.,1,AI-Generated,4,DALLE3,train
323,A view of the mountains is shown from an airplane window.,1,AI-Generated,5,Midjourney,train
324,A white toilet sitting in front of a building under a window.,0,Real,0,Real,train
325,A white toilet sitting in front of a building under a window.,1,AI-Generated,1,SD21,train
326,A white toilet sitting in front of a building under a window.,1,AI-Generated,2,SDXL,train
327,A white toilet sitting in front of a building under a window.,1,AI-Generated,3,SD3,train
328,A white toilet sitting in front of a building under a window.,1,AI-Generated,4,DALLE3,train
329,A white toilet sitting in front of a building under a window.,1,AI-Generated,5,Midjourney,train
330,A man riding a bicycle down a sidewalk.,0,Real,0,Real,train
331,A man riding a bicycle down a sidewalk.,1,AI-Generated,1,SD21,train
332,A man riding a bicycle down a sidewalk.,1,AI-Generated,2,SDXL,train
333,A man riding a bicycle down a sidewalk.,1,AI-Generated,3,SD3,train
334,A man riding a bicycle down a sidewalk.,1,AI-Generated,4,DALLE3,train
335,A man riding a bicycle down a sidewalk.,1,AI-Generated,5,Midjourney,train
336,passengers sitting in the seats aboard an aircraft,0,Real,0,Real,train
337,passengers sitting in the seats aboard an aircraft,1,AI-Generated,1,SD21,train
338,passengers sitting in the seats aboard an aircraft,1,AI-Generated,2,SDXL,train
339,passengers sitting in the seats aboard an aircraft,1,AI-Generated,3,SD3,train
340,passengers sitting in the seats aboard an aircraft,1,AI-Generated,4,DALLE3,train
341,passengers sitting in the seats aboard an aircraft,1,AI-Generated,5,Midjourney,train
342,a oven is built into a counter in a kitchen,0,Real,0,Real,train
343,a oven is built into a counter in a kitchen,1,AI-Generated,1,SD21,train
344,a oven is built into a counter in a kitchen,1,AI-Generated,2,SDXL,train
345,a oven is built into a counter in a kitchen,1,AI-Generated,3,SD3,train
346,a oven is built into a counter in a kitchen,1,AI-Generated,4,DALLE3,train
347,a oven is built into a counter in a kitchen,1,AI-Generated,5,Midjourney,train
348,A child on a toy is approaching a fire hydrant.,0,Real,0,Real,train
349,A child on a toy is approaching a fire hydrant.,1,AI-Generated,1,SD21,train
350,A child on a toy is approaching a fire hydrant.,1,AI-Generated,2,SDXL,train
351,A child on a toy is approaching a fire hydrant.,1,AI-Generated,3,SD3,train
352,A child on a toy is approaching a fire hydrant.,1,AI-Generated,4,DALLE3,train
353,A child on a toy is approaching a fire hydrant.,1,AI-Generated,5,Midjourney,train
354,A dog and a couple sitting on a wood bench.,0,Real,0,Real,train
355,A dog and a couple sitting on a wood bench.,1,AI-Generated,1,SD21,train
356,A dog and a couple sitting on a wood bench.,1,AI-Generated,2,SDXL,train
357,A dog and a couple sitting on a wood bench.,1,AI-Generated,3,SD3,train
358,A dog and a couple sitting on a wood bench.,1,AI-Generated,4,DALLE3,train
359,A dog and a couple sitting on a wood bench.,1,AI-Generated,5,Midjourney,train
360,A small enclosure for different types of animals.,0,Real,0,Real,train
361,A small enclosure for different types of animals.,1,AI-Generated,1,SD21,train
362,A small enclosure for different types of animals.,1,AI-Generated,2,SDXL,train
363,A small enclosure for different types of animals.,1,AI-Generated,3,SD3,train
364,A small enclosure for different types of animals.,1,AI-Generated,4,DALLE3,train
365,A small enclosure for different types of animals.,1,AI-Generated,5,Midjourney,train
366,A giraffe laying on the ground near a fence.,0,Real,0,Real,train
367,A giraffe laying on the ground near a fence.,1,AI-Generated,1,SD21,train
368,A giraffe laying on the ground near a fence.,1,AI-Generated,2,SDXL,train
